class,duplicate_group,kept_file,redundant_file
COVID,1,COVID-137.png,COVID-139.png
COVID,2,COVID-18.png,COVID-21.png
COVID,3,COVID-2084.png,COVID-2085.png
COVID,4,COVID-2416.png,COVID-2418.png
COVID,5,COVID-2419.png,COVID-2420.png
COVID,5,COVID-2419.png,COVID-2421.png
COVID,6,COVID-2422.png,COVID-2423.png
COVID,7,COVID-2431.png,COVID-2432.png
COVID,8,COVID-2458.png,COVID-2459.png
COVID,9,COVID-2492.png,COVID-2493.png
COVID,10,COVID-2666.png,COVID-2667.png
COVID,11,COVID-2677.png,COVID-2678.png
COVID,12,COVID-2715.png,COVID-2716.png
COVID,12,COVID-2715.png,COVID-2717.png
COVID,12,COVID-2715.png,COVID-2718.png
COVID,12,COVID-2715.png,COVID-2719.png
COVID,13,COVID-277.png,COVID-280.png
COVID,14,COVID-2772.png,COVID-2773.png
COVID,14,COVID-2772.png,COVID-2774.png
COVID,15,COVID-2804.png,COVID-2805.png
COVID,16,COVID-2807.png,COVID-2808.png
COVID,16,COVID-2807.png,COVID-2809.png
COVID,16,COVID-2807.png,COVID-2810.png
COVID,16,COVID-2807.png,COVID-2811.png
COVID,16,COVID-2807.png,COVID-2812.png
COVID,16,COVID-2807.png,COVID-2813.png
COVID,17,COVID-2822.png,COVID-2823.png
COVID,18,COVID-2941.png,COVID-2942.png
COVID,19,COVID-2945.png,COVID-2946.png
COVID,20,COVID-3140.png,COVID-3141.png
COVID,20,COVID-3140.png,COVID-3142.png
COVID,20,COVID-3140.png,COVID-3143.png
COVID,20,COVID-3140.png,COVID-3144.png
COVID,21,COVID-319.png,COVID-321.png
COVID,22,COVID-3207.png,COVID-3208.png
COVID,23,COVID-3211.png,COVID-3212.png
COVID,24,COVID-3222.png,COVID-3223.png
COVID,25,COVID-3298.png,COVID-3299.png
COVID,26,COVID-3373.png,COVID-3374.png
COVID,26,COVID-3373.png,COVID-3375.png
COVID,26,COVID-3373.png,COVID-3376.png
COVID,27,COVID-3402.png,COVID-3403.png
COVID,28,COVID-3426.png,COVID-3427.png
COVID,29,COVID-3428.png,COVID-3429.png
COVID,30,COVID-3488.png,COVID-3489.png
COVID,31,COVID-3515.png,COVID-3516.png
COVID,32,COVID-3547.png,COVID-3548.png
COVID,33,COVID-3573.png,COVID-3574.png
COVID,34,COVID-3590.png,COVID-3591.png
COVID,35,COVID-3598.png,COVID-3599.png
COVID,36,COVID-49.png,COVID-52.png
Normal,1,Normal-817.png,Normal-818.png
Viral Pneumonia,1,Viral Pneumonia-1052.png,Viral Pneumonia-1053.png
Viral Pneumonia,2,Viral Pneumonia-117.png,Viral Pneumonia-118.png
Viral Pneumonia,3,Viral Pneumonia-249.png,Viral Pneumonia-250.png
Viral Pneumonia,4,Viral Pneumonia-294.png,Viral Pneumonia-295.png
Viral Pneumonia,5,Viral Pneumonia-595.png,Viral Pneumonia-596.png
Viral Pneumonia,6,Viral Pneumonia-74.png,Viral Pneumonia-75.png
Viral Pneumonia,7,Viral Pneumonia-953.png,Viral Pneumonia-954.png
